Name,antibacterial ,antifungal,other function,target,class ,species,target types,BGC_id,
o_methylkolavelool,,,unknown,,terpene,herpetosiphon,,BGC0001198,
obafluorin,yes,,,,nrp,,?,BGC0001437,
ochronotic_pigment,,,unknown,,other,streptomyces,,BGC0000918,
oligomycin,weak?,yes,cytotoxic; antitumor,atp synthase,pk,,,BGC0000117,
onnamide,,,cytotoxic,ribosome,nrp pk,,,BGC0001105,
oocydin_a,,yes,,,nrp pk,serratia,,BGC0001031,
oocydin_a_2,,yes,,,nrp pk,serratia,,BGC0001032,
orfamide,,yes,surfactant,,nrp,pseudomonas,,BGC0000398,
orfamide_a,,yes,surfactant,,nrp,pseudomonas,,BGC0000399,
oviedomycin,?,?,cytotoxic,,pk,streptomyces,,BGC0000253,
oxazolomycin,yes,yes,antitumor; antiviral,,nrp pk,streptomyces,gram pos; gram neg (weak),BGC0001106,
oxytetracycline,yes,,,,pk,,gram pos; gram neg,BGC0000254,
pacidamycin,yes,,,cell wall synthesis,nrp,streptomyces,pseudomonas; gram neg,BGC0000951,
pactamycin,yes,yes,cytotoxic,ribosome,polyketide,streptomyces,gram pos; gram neg,BGC0000119,
pactamycin_2,yes,yes,,ribosome,pk,,gram pos; gram neg,BGC0000118,
paenibacillin,yes,,,,ripp,paenibacillus,gram pos,BGC0000540,
paenibacterin,yes,,,,nrp,,gram pos; gram neg,BGC0000400,
paenibactin,,,siderophore,,nrp,,,BGC0000401,
paenicidin_a,yes,,,,ripp,paenibacillus,gram pos,BGC0000541,
paenicidin_b,yes,,,,ripp,paenibacillus,gram pos,BGC0000542,
paenilamicin,yes,yes,cytotoxic; antitumor,,nrp pk,paenibacillus,,BGC0001033,
paeninodin,no,,unknown,,ripp,paenibacillus,,BGC0001356,
paerucumarin,,,unknown,,other,pseudomonas,,BGC0000923,
pamamycin,yes,yes,antioxidant; cytotoxic; siderophore; signalling; surfactant,,pk,,gram pos; mycobacterium,BGC0001150,
pantoea_anantis_carotenoid,,,pigment,,terpene,,,,
paromomycin,yes,yes,antiparasite,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000712,
patellamide_a,,,moderately cytotoxic,,ripp,,,BGC0000475,
patellin_2_3,,,unknown,,ripp,prochloron,,BGC0000477,
pederin,,,cytotoxic,ribosome,pk,,,BGC0001108,
pederin_2,,,cytotoxic,ribosome,pk,,,BGC0000255,
pelgipeptin,yes,yes,,,nrp,,gram pos; gram neg,BGC0000403,
pellasoren,,,cytotoxic,,nrp,,,BGC0001034,
penisin,yes,,,,ripp,paenibacillus,gram pos; gram neg,BGC0001289,
pentalenolactone,yes,yes,antiprotozoa,,terpene,streptomyces,gram pos; gram neg,BGC0000653,
pentalenolactone_2,yes,yes,antiprotozoa,,terpene,streptomyces,gram pos; gram neg,BGC0000678,
pep5,yes,,,,ripp,staphylococcus,gram pos,BGC0000543,
petrobactin,,,siderophore,,other,,,BGC0000942,
phaseolotoxin,,,phytotoxin,,other,pseudomonas,,BGC0000919,
pheganomycin,yes,,,,nrp,streptomyces,?,BGC0001148,
phenalamide,yes,yes,anti-HIV,,nrp pk,myxococcus,gram pos,BGC0001394,
phenalinolactone,yes,,phytotoxic,,terpene,streptomyces,gram pos,BGC0000654,
phenolic_lipids,,,cyst formation (protective coat),,pk,,,BGC0000284,
phormidolide,,,unknown,,pk,leptolyngbya,,BGC0001350,
phoslactomycin_b,,yes,antitumor,,pk,,,BGC0000123,
phosphonoglycans,,,biofilm,,saccharide,glycomyces,,BGC0000806,
phosphonoglycans_2,,,biofilm,,saccharide,stackebrandtia,,BGC0000807,
physostigmine,,,toxin,acetylcholinesterase ,alkaloid,,,BGC0000820,
piericidin_a1,,yes,antitumor,mitochondrial complex I,pk,,,BGC0001169,
piericidin_a1_2,,yes,antitumor,mitochondrial complex I,pk,,,BGC0000124,
pimaricin,,yes,,,pk,,,BGC0000125,
pinensins,yes,yes,,,ripp,chitinophaga,,BGC0001392,
piricyclamide,,,unknown,,ripp,,,BGC0001167,
pladienolide,,,antitumor; cytotoxic,,pk,,,BGC0000126,
planosporicin,yes,,,lipid II; cell wall synthesis,ripp,,gram pos,BGC0000544,
plantaricin_w,yes,,,,ripp,lactobacillus,gram pos,BGC0000623,
plantazolicin,yes,,,,ripp,,gram pos,BGC0000569,
plantazolicin_2,yes,,,,ripp,,gram pos,BGC0001173,
platencin,yes,,,FabF; FabH,terpene,,gram pos,BGC0001156,
platensimycin,yes,,,fatty acid synthase,terpene,,gram pos,BGC0001140,
plipastatin,,yes,,,nrp,,,BGC0000407,
PM100117,,,antitumor; cytotoxic,,pk,streptomyces,,BGC0001359,
poaeamide,,yes,,,nrp,,,BGC0001208,
poaeamide_b,,,unknown,,nrp,,,BGC0001347,
polyhydroxyalkanoate,,,carbon storage,,other,burkholderia,,BGC0000866,
polyhydroxyalkanoate_2,,,carbon storage,,other,bacillus,,BGC0000920,
polyhydroxyalkanoic_acids,,,carbon storage,,other,ectothiorhodospira,,BGC0000867,
polyketomycin,yes,,cytotoxic,,pk saccharide,,gram pos,BGC0001061,
polymyxin,yes,,no activity against E coli,,nrp,,gram neg,BGC0001153,
polymyxin_2,yes,,no activity against E coli,,nrp,,gram neg,BGC0000408,
polyoxin,,yes,,,other,streptomyces,,BGC0000877,
polyoxypeptin,,,apoptosis inducer; antitumor,,nrp pk,streptomyces,,BGC0001036,
polysaccharide,,,capsule,,saccharide,enterococcus,,BGC0000792,
polysaccharide_a,,,virulence; capsule,,saccharide,bacteroides,,BGC0001410,
polysaccharide_b,,,capsule,,saccharide,bacteroides,,BGC0001411,
polysaccharide_c,,,capsule,,saccharide,bacteroides,,BGC0001412,
polytheonamides,,,cytotoxic,membrane,ripp,,,BGC0000598,
porothramycin,yes,,antitumor; cytotoxic,DNA alkylation,nrp,,gram pos; anaerobe gram neg,BGC0000409,
PQS,,,secondary metabolite synthesis; signaling,,other,pseudomonas,,BGC0000922,
pradimicin,,yes,,,pk,,,BGC0000256,
prenylagaramide_B_C,,,no antimicrobial detected,,ripp,planktothrix,,BGC0000479,
PreQ0_base,,,antitumor; cytotoxic,,other,streptomyces,,BGC0001217,
pristinamycin,yes,,,ribosome,nrp pk,,gram pos,BGC0000952,
prodigiosin,yes,yes,cytotoxic; antimalaria; immunosuppresor,,pk,,gram pos,BGC0000257,
prodigiosin_2,yes,yes,cytotoxic; antimalaria; immunosuppresor,,pk,,gram pos,BGC0000258,
prodigiosin_3,yes,yes,cytotoxic; antimalaria; immunosuppresor,,pk,,gram pos,BGC0000259,
prodigiosin_4,yes,yes,cytotoxic; antimalaria; immunosuppresor,,pk,,gram pos,BGC0000260,
promysalin,yes,,,,other,,gram pos; gram neg,BGC0000921,
pseudomonine,,,siderophore,,nrp,,,BGC0000410,
pseudomycoicidin,yes,,,,ripp,bacillus,gram pos,BGC0001210,
pseudopyronine,yes,yes,cytotoxic,fatty acid synthase,other,,gram pos,BGC0001285,
psymberin,,,cytotoxic,,nrp pk,,,BGC0001110,
puromycin,yes,,,ribosome,other,streptomyces,gram pos; weak gram neg,BGC0000878,
putisolvin,yes,yes,surfactant,breaks down biofilms,nrp,,?,BGC0000411,
puwainaphycins,,,cytotoxic,,nrp pk,cylindrospermum,,BGC0001125,
pyochelin,yes,,siderophore,,nrp,,gram pos; weak gram neg,BGC0000412,
pyocyanine,yes,yes,,,other,pseudomonas,gram pos; gram neg,BGC0000936,
pyoluteorin,,yes,,,pk,,,BGC0000127,
pyoluteorin_2,,yes,,,pk,,,BGC0000128,
pyoverdine,,,siderophore,,nrp,,,BGC0000413,
pyralomicin,yes,,,,nrp pk,,gram pos,BGC0001038,
pyridomycin,yes,,,,nrp pk,streptomyces,mycobacterium,BGC0001039,
pyrrolnitrin,yes,yes,,,other,pseudomonas,gram pos,BGC0000924,
pyrrolomycin,yes,weak,,,pk,,gram pos,BGC0000130,
pyrrolomycin_2,yes,weak,,,pk,,gram pos,BGC0000131,
pyrrolomycin_3,yes,weak,,,pk,,gram pos,BGC0000132,
quartromicin,,,antiviral,,pk,,,BGC0000133,
quinocarcin,,,antitumor; cytotoxic,DNA alkylation,nrp,,,BGC0000414,
quinolobactin,,,siderophore,,other,pseudomonas,,BGC0000925,
quinomycin,yes,,antitumor; antiviral; cytotoxic,notch pathway; DNA,nrp,,gram pos,BGC0000415,
R1128,,,unknown,estrogen receptor,pk,,,BGC0000261,
rabelomycin,yes,,(might have antitumor),,pk saccharide,streptomyces,gram pos,BGC0000262,
rakicidin,,,cytotoxic,,nrp,,,BGC0001327,
rakicidin_2,,,cytotoxic,,nrp,,,BGC0001328,
rakicidin_d,,,cytotoxic,,nrp,,,BGC0001329,
ralsolamycin,,,fungal changes; infection of fungus,,nrp pk,ralstonia,,BGC0001363,
rapamycin,,yes,immunosuppresor,,nrp pk,streptomyces,,BGC0001040,
ravidomycin,,yes,cytotoxic; antitumor,,pk,,,BGC0000263,
rebeccamycin,yes,yes,cytotoxic,topoisomerase,alkaloid,,gram pos,BGC0000821,
rebeccamycin_2,yes,yes,cytotoxic,topoisomerase,alkaloid,,gram pos,BGC0000822,
rebeccamycin_3,yes,yes,antitumor; cytotoxic,topoisomerase,alkaloid,lechevalieria,,BGC0000823,
red_pigment,?,,resistance to UV; unknown,,pk saccharide,,,BGC0000285,
reductasporine,,yes,,,other,,,BGC0001224,
resistomcycin,yes,yes,,polymerase inhibitor,pk,streptomyces,gram pos; gram neg,BGC0000264,
retimycin,,,cytotoxic,,nrp,,,BGC0001228,
reveromycin,,yes,activity against eukaryotic cells; antitumor; cytotoxic,,pk,,,BGC0000135,
rhizocticin,,yes,,,other,bacillus,,BGC0000926,
rhizopodins,,,cytotoxic,,nrp pk,,,BGC0001111,
rhizoxin,,,cytotoxic,tubulin,nrp pk,,,BGC0001112,
rhobacter_capsulatus_cartenoid,,,pigment,,terpene,,,,
rhobacter_sphaeroides_241_carotenoid,,,pigment,,terpene,,,,
rhodochelin,,,siderophore,,nrp,,,BGC0000417,
rhodomycin,yes,,cytotoxic; antitumor,,pk,,gram pos,BGC0000265,
ribostamycin,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000713,
rifamycin,yes,,,,pk,,gram pos; gram neg,BGC0000136,
rifamycin_2,yes,,,,pk,,gram pos; gram neg,BGC0000137,
rimocidin,,yes,,,pk,,,BGC0000138,
rishirilide_b,,,,alpha2-macroglobulin inhibitor,pk,,,BGC0001179,
ristocetin,yes,,,,nrp,,gram pos; gram neg,BGC0000418,
ristomycin,yes,,,cell wall; peptidoglycan,nrp saccharide,amycolatopsis,gram pos,BGC0000419,
RK_682,yes,,antitumor,phosphatase,pk,,?,BGC0000140,
roseoflavin,yes,,,,other,streptomyces,gram pos,BGC0000927,
rubivivax_gelatnosus_carotenoid,,,pigment,,terpene,,,,
rubradirin,yes,,,ribosome,pk,,gram pos,BGC0000141,
rubrivinodin,,,unknown,,ripp,rubrivivax,,BGC0000576,
rubromycin,,,unknown (not sure which analogues are made by this cluster),,pk,,,BGC0000266,
ruminococcin_a,yes,,,,ripp,ruminococcus,gram pos,BGC0000545,
s_layer_glycan,,,cell wall,,saccharide,geobacillus,,BGC0000794,
s_layer_glycan_2,,,cell wall,,saccharide,aneurinibacillus,,BGC0000795,
s_layer_glycan_3,,,cell wall,,saccharide,paenibacillus,,BGC0000796,
safracin,,,antitumor; cytotoxic,,nrp,,,BGC0000421,
saframycin_a,,,antitumor; cytotoxic,,nrp,,,BGC0000422,
SAL_2242,,,unknown,,ripp,,,BGC0000546,
salinamide,yes,,,rna polymerase ,nrp,,gram pos; gram neg,BGC0001230,
salinilactam,,,unknown,,pk,,,BGC0000142,
salinomycin,yes,,protozoa; ionophore; antitumor; cytotoxic,Na K,polyketide,streptomyces,gram pos,BGC0000144,
salinomycin_2,yes,,,Na K,pk,,gram pos,BGC0000143,
salinosporamide,,,cytotoxic,,nrp pk,,,BGC0001041,
salinosporamide_a,,,antitumor; cytotoxic,proteasome,pk,,,BGC0000145,
salivaricin_9,yes,,,,ripp,streptococcus,gram pos,BGC0000547,
salivaricin_a,yes,,,,ripp,streptococcus,gram pos,BGC0000548,
salivaricin_crl1328,yes,,,,ripp,lactobacillus,gram pos,BGC0000624,
salivaricin_d,yes,,,,ripp,streptococcus,gram pos,BGC0000549,
salivaricin_g32,yes,,,,ripp,streptococcus,gram pos,BGC0000550,
sanglifehrin_a,,,immunosuppresor; unknown,cyclophilin,nrp pk,streptomyces,,BGC0001042,
SapB,,,surfactant,,ripp,,,BGC0000551,
saprolmycin_e,,,antiparasite,,pk,streptomyces,,BGC0001384,
saxitoxin,,,neurotoxin,Na channels nerve cells,alkaloid,cylindrospermopsis ,,BGC0000186,
SBI_06990,,,unknown,,nrp,,,BGC0001229,
scabichelin,,,siderophore,,nrp,,,BGC0000423,
Sch47554_47555,,,unknown,,pk,,,BGC0000268,
SCO_2138,,,unknown,,ripp,,,BGC0000595,
scytonemin,?,?,unknown,,alkaloid,,,BGC0000824,
serobactins,,,siderophore,,nrp,herbaspirillum,,BGC0000424,
sessilin,,yes,surfactant,,nrp,pseudomonas,,BGC0000425,
SF2575,yes,,cytotoxic; antitumor,,pk saccharide,streptomyces,gram pos,BGC0000269,
sgr_ptms,,,unknown,,nrp pk,streptomyces,,BGC0001043,
shinorine,,,resistance to UV,,nrp,anabaena,,BGC0000427,
sibiromycin,yes,,antitumor; cytotoxic,DNA alkylation,nrp,,?,BGC0000428,
simocyclinone,yes,,cytotoxic,DNA gyrase,pk saccharide,,gram pos,BGC0001072,
simocyclinone_2,yes,,cytotoxic,DNA gyrase,pk saccharide,,gram pos,BGC0000270,
simocyclinone_3,yes,,cytotoxic,DNA gyrase,pk,streptomyces,gram pos,BGC0000835,
simocyclinone_4,yes,,cytotoxic,,pk,streptomyces,gram pos,BGC0001308,
siomycin,yes,,antitumor,antitumor,ripp,streptomyces,gram pos; gram neg,BGC0000611,
siomycin_2,yes,,antitumor,,ripp,streptomyces,gram pos; gram neg,BGC0000655,
sisomicin,yes,,,,saccharide,micromonospora,gram neg; gram pos,BGC0000714,
skyllamycin,?,?,unknown,platlet derived gf,nrp,streptomyces,,BGC0000429,
SLI_2138,,,unknown,,ripp,,,BGC0000596,
Smb_A_Smb_B,yes,,,,ripp,streptococcus,?,BGC0000552,
sodorifen,,,odor; unknown,,terpene,serratia,,BGC0001361,
sorangicin,yes,,,,pk,sorangium,gram pos; gram neg,BGC0000184,
soraphen,,yes,,acylt-CoA carboxylase,polyketide,sorangium,,BGC0000147,
spectinomycin,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000715,
spectinomycin_2,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000716,
sphingan_polysaccharide,,,capsule,,saccharide,sphingomonas,,BGC0000797,
sphingonodin_ii,,,unknown,,ripp,sphingobium,,BGC0000577,
spinosad,,,antiparasite; insectiside,,pk,,,BGC0000148,
spirangien,,yes,cytotoxic,cytotoxic,polyketide,sorangium,,BGC0000149,
spiruchostatin,,yes,cytotoxic,histone deacetylase,nrp pk,,,BGC0001045,
splenocin,,,cytokine inhibitor; unknown,,nrp pk,streptomyces,,BGC0001216,
spliceostatin,,,antitumor; cytotoxic,spliceosome,nrp pk,burkholderia,,BGC0001113,
spore_pigment,,,pigment,,pk,,,BGC0000271,
spore_pigment_2,,,pigment,,pk,,,BGC0000272,
sporolation_killing_factor,yes,,,,ripp,,gram pos,BGC0000601,
sporolide,,,unknown,proteasome inhibitor,polyketide,salinispora,,BGC0000150,
spumigin,?,,protease inhibitor; unknown,trypsin,nrp pk,nodularia,,BGC0000430,
SRO14_3108,,,unknown,,ripp,,,BGC0000554,
SRO15_2005,,,unknown,,ripp,,,BGC0000578,
SRO15_2212,,,unknown,,ripp,,,BGC0000553,
SSV_2083,,,unknown,,ripp,,,BGC0000579,
stambomycin,yes,,antitumor,,pk saccharide,streptomyces,gram pos,BGC0000151,
staphylobactin,,,siderophore,,other,staphylococcus,,BGC0000943,
staphylococcin_c55_alpha,,,unknown,,ripp,streptococcus,gram pos,BGC0000555,
staphyloferrin,,,siderophore,,other,,,BGC0000944,
staurosporine,,yes,,kinase,alkaloid,streptomyces,,BGC0000825,
staurosporine_2,,yes,,kinase,alkaloid,streptomyces,,BGC0000826,
staurosporine_3,,yes,,kinase,alkaloid,salinospora,,BGC0000827,
steffimycin,yes,,cytotoxic; antitumor,dna,pk saccharide,streptomyces,gram pos,BGC0000273,
stenothricin,yes,,,,nrp,streptomyces,gram pos; gram neg,BGC0000431,
stewartan,,,biofilm,,saccharide,pantoea,,BGC0000763,
stigmatellin,,yes,,,polyketide,stigmatella,,BGC0000153,
streptazone_e,,,unknown,,pk,streptomyces,,BGC0001296,
streptide,,,unknown,,ripp,streptococcus,,BGC0001209,
streptin,yes,,,,ripp,streptococcus,gram pos,BGC0000556,
streptococcin_a_ff22,yes,,,,ripp,streptococcus,gram pos,,
streptocollin,,,,phosphatase inhibitor,ripp,,,BGC0001226,
streptolydigin,yes,,,rna polymerase ,nrp pk,,gram pos,BGC0001046,
streptolysin,,,cytotoxic,,ripp,,,BGC0000566,
streptomonomicin,yes,,,,ripp,,gram pos,BGC0001176,
streptomycin,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000717,
streptomycin_2,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000718,
streptomycin_3,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000724,
streptothricin,yes,,antiviral,,nrp,,some gram pos; gram neg,BGC0000432,
sublancin_168,yes,,,,ripp,bacillus,gram pos,BGC0000558,
subtilin,yes,?,signaling,,ripp,,gram pos,BGC0000559,
subtilomycin,yes,yes,,,ripp,,gram pos; gram neg,BGC0000560,
subtilosin_a,yes,,,,ripp,bacillus,gram pos; gram neg,,
subtilosin_a_2,yes,,,,ripp,bacillus,gram pos; gram neg,BGC0000602,
succinoglycan,,,emulsifier,,saccharide,sinorhizobium,,BGC0000802,
surfactin,yes,yes,surfactant,,nrp,bacillus,gram pos; gram neg,BGC0000433,
svaricin,,,unknown,,nrp pk,streptomyces,,BGC0001382,
SW_163,yes,,antitumor; cytotoxic,DNA,nrp,,gram pos,BGC0000434,
SWA_2138,,,unknown,,ripp,,,BGC0000597,
syringafactin,,,surfactant; swarming,,nrp,,,BGC0000435,
syringolin_a,,,virulence; antitumor,proteasome,nrp,,,BGC0000436,
syringolin_a_2,,,virulence,proteasome,nrp pk,pseudomonas,,BGC0001047,
syringomycin,,,phytotoxin,,nrp,,,BGC0000437,
syringopeptin,,,virulence,,nrp,,,BGC0000438,
t3_toxin,,,neurotoxin,Na channels nerve cells,alkaloid,cylindrospermopsis,,BGC0000928,
tabtoxin,,,plant toxin; antibiotic precursor,,other,pseudomonas,,BGC0000846,
taiwanchelin,,,siderophore,,nrp,cupriavidus,,BGC0001189,
tallysomycin,,,cytotoxic,dna,nrp pk,,,BGC0001048,
tambromycin,,,antiproliferative; unknown,,nrp,streptomyces,,BGC0001368,
taromycin,yes,,,,nrp,saccharomonospora,gram pos,BGC0000439,
tartrolon,yes,,antitumor,,pk,,gram pos,BGC0000185,
tautomycetin,,yes,immunosuppresor; antitumor,SHP2 phosphatase,polyketide,streptomyces,,BGC0000157,
tautomycetin,,yes,immunosuppresor; antitumor,phosphatase,pk,,,BGC0000157,
tautomycin,,yes,antitumor,phosphatase,polyketide,streptomyces,,BGC0000159,
taxlllaid,,,anti-eukaryotic,,nrp,,,BGC0001133,
teichomycin,yes,,,,other,actinoplanes,gram pos; gram neg,BGC0001395,
teichuronic_acid,,,cell wall,,other,bacillus,,BGC0000868,
teicoplanin,yes,,,lipid II,nrp saccharide,actinoplanes,gram pos,BGC0000440,
teicoplanin_2,yes,,,lipid II,nrp saccharide,actinoplanes,gram pos,BGC0000441,
teixobactin,yes,,,cell wall synthesis,nrp,eleftheria,gram pos,BGC0001207,
teleocidin_b,,,unknown,,nrp,streptomyces,,BGC0001085,
telomycin,yes,,,,nrp,streptomyces,gram pos,BGC0001406,
tenuecyclamide_A_C,yes,,,,ripp,nostoc,?,BGC0000480,
tetarimycin,yes,,,,pk,uncultured,gram pos,BGC0000274,
tetracenomycin,yes,,cytotoxic; antitumor,,pk,streptomyces,gram pos,BGC0000275,
tetrocarcin_a,yes,,mitochondria; antitumor,,pk,,gram pos,BGC0000162,
tetronasin,yes,yes,ionophore,,pk,,gram pos,BGC0000163,
tetronomycin,yes,yes,ionophore,,pk,,gram pos,BGC0000164,
thailandamide,,,unknown,,nrp pk,burkholderia,,BGC0000186,
thailanstatin,,,cytotoxic,spliceosome,nrp pk,,,BGC0001114,
thanamycin,,yes,,,nrp,pseudomonas,,BGC0000443,
thaxtomin,,,phytotoxin,,nrp,,,BGC0000444,
thermophilin_1277,yes,,,,ripp,streptococcus,gram pos,BGC0000561,
thienamycin,yes,,,cell wall synthesis,beta-lactam,,gram pos; gram neg,BGC0000847,
thienodolin,,,regulates plant growth,,other,streptomyces,,BGC0001374,
thiocillin,yes,,,,ripp,,gram pos,BGC0000612,
thiocoraline,yes,,cytotoxic; antitumor,dna polmerase,nrp,micromonospora,gram pos,BGC0000445,
thiolactomycin,yes,,,,pk,streptomyces,gram pos; gram neg,BGC0001237,
thiolactomycin_2,yes,,,,nrp pk,lentzea,gram pos; gram neg,BGC0001353,
thiolutin,yes,yes,,,nrp,saccharothrix,gram neg; gram pos,BGC0001193,
thiomarinol,yes,,,,nrp pk,pseudoalteromonas,gram pos; gram neg,BGC0001115,
thiomuracins,yes,,,EF-Tu,ripp,,gram pos,BGC0000613,
thiostrepton,yes,,antitumor,antitumor,ripp,streptomyces,gram pos; gram neg,BGC0000614,
thiotetroamide,probably,,unknown,,pk,streptomyces,,BGC0001236,
thioviridamide,,,unknown; antitumor,,ripp,streptomyces,,BGC0000625,
thuggacin,yes,,,,nrp pk,,gram pos,BGC0001051,
thuggacin_2,yes,,,,nrp pk,chondromyces,gram pos,BGC0001342,
thuricin,yes,,,,ripp,bacillus,gram pos,BGC0000626,
thuricin_cd,yes,,,,ripp,bacillus,gram pos; clostridium difficile,BGC0000599,
thuricin_h,yes,,,,ripp,bacillus,gram pos; bacillus,BGC0000600,
thusin,yes,,,,ripp,bacillus,gram pos,BGC0001391,
tiacumicin,yes,,,,polyketide,dactylosporangium ,gram pos,BGC0000165,
tiancimycin,?,,antitumor,,pk,streptomyces,,BGC0000165,
tilivaline,,,toxin,,nrp,,,BGC0000446,
tirandamycinn,yes,,,,nrp pk,,gram pos,BGC0001052,
tln-05220,yes,,cytotoxic,,nrp pk,micromonospora,gram pos,BGC0001062,
t-muurolol,,,unknown,,terpene,streptomyces,,BGC0000675,
tobramycin,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000719,
tobramycin_2,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000720,
tobramycin_3,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000721,
tolaasin,,yes,,cell membrane,nrp,pseudomonas,,BGC0000447,
tomaymycin,,,antitumor; cytotoxic,,nrp,,,BGC0000448,
toxoflavin,yes,,toxin,,other,burkholderia,gram pos; gram neg,BGC0000929,
toyocamycin,,yes,antitumor,,other,streptomyces,,BGC0000879,
toyocamycin_2,,yes,antitumor,,other,streptomyces,,BGC0000881,
TP_1161,yes,,,ribosome,ripp,,gram pos,BGC0000615,
trichamide,,,no oberserved microbial activity,,ripp,,,BGC0000481,
tridecaptin,yes,,,,nrp,,gram neg,BGC0000449,
trifolitoxin,,,unknown,,ripp,rhizobium,,BGC0000567,
triostin_a,,,antitumor; cytotoxic,dna,nrp,,,BGC0000450,
tropoditheitic_acid,yes,,signaling; quorum sensing; antitumor,,other,phaeobacter,gram pos; gram neg,BGC0000932,
tropoditheitic_acid_2,yes,,signaling; quorum sensing,,other,phaeobacter,gram pos; gram neg,BGC0001362,
tu_3010,yes,,,,nrp pk,streptomyces,?,BGC0001352,
tubulysin,,,cytotoxic,,nrp pk,angiococcus,,BGC0001053,
tubulysin_2,,,cytotoxic,,nrp pk,cystobacter ,,BGC0001344,
tunicamycin,yes,yes,cytotoxic,MraY,nucleoside,,gram pos,BGC0000880,
turnerbactin,,,siderophore,,nrp,,,BGC0000451,
tylactone,,,unknown,,pk,,,BGC0000166,
tyrocidine,yes,,control sporolation,,nrp,,gram pos,BGC0000452,
U_68204,yes,,,,nrp pk,streptomyces,gram pos; gram neg,BGC0001354,
U_68204_2,yes,,,,nrp pk,streptomyces,,BGC0001355,
uberolysin,yes,,,,ripp,,?,BGC0000494,
UK_68_597,yes,,,peptidoglycan precursors,nrp,,gram pos,BGC0001178,
uncialamycin,yes,,,,pk,streptomyces,gram pos; gram neg,BGC0001377,
undecylprodigiosin,yes,yes,,,nrp pk,streptomyces,gram pos,BGC0001063,
urdamycin,yes,,antitumor,,pk,,gram pos,BGC0000277,
urdamycin_2,yes,,antitumor,,pk,,gram pos,BGC0000278,
validamycin,yes,yes,,,saccharide,,?,BGC0000722,
validamycin_2,yes,yes,,trehalase,saccharide,streptomyces,?,BGC0000723,
valinomycin,yes,yes,cytotoxic,,nrp,streptomyces,gram pos,BGC0000453,
vanchrobactin,,,siderophore,,nrp,,,BGC0000454,
vancomycin,yes,,,,nrp,,gram pos,BGC0000455,
venezuelin,,,unknown; probably not antibiotic,,ripp,,,BGC0000563,
versipelostatin,,,unknown,chaperone downregulator,pk,streptomyces,,BGC0001204,
vibriobactin,,,siderophore,,other,vibrio,,BGC0000945,
vibrioferrin,,,siderophore,,other,vibrio,,BGC0000946,
vibrioferrin_2,,,siderophore,,other,vibrio,,BGC0000947,
vicenistatin,,,antitumor; cytotoxic,,pk,,,BGC0000167,
vicibactin,,,siderophore,,nrp,,,BGC0000457,
viguiepinol,,,unknown,,pk,,,BGC0000286,
violacein,yes,,cytotoxic; signaling,activates TNFr1,alkaloid,,gram pos,BGC0000829,
violacein_2,yes,,cytotoxic; signaling,activates TNFr1,alkaloid,,gram pos,BGC0000830,
violacein_3,yes,yes,antitumor; cytotoxic,,alkaloid,chromobacterium,gram pos,BGC0000828,
violacein_4,yes,yes,antitumor; cytotoxic,,alkaloid,duganella,gram pos,BGC0000831,
viomycin,yes,,,,nrp,,mycobacterium; weak to other,BGC0000458,
virginiamycin,yes,,,ribosome,nrp pk,streptomyces,gram pos,BGC0001116,
viridisamide,,,unknown,,ripp,oscillatoria,,BGC0000471,
viscosin,,,surfactant; virulence,,nrp,pseudomonas,,BGC0001312,
vpe,,,unknown,,other,,,BGC0000871,
vulnibactin,,,siderophore,,nrp,,,BGC0000460,
WAP_8294A2,yes,,,,nrp,,gram pos,BGC0000461,
warkmycin,yes,,antitumor,,pk saccharide,,gram pos,BGC0001438,
welwitindolinone,yes,yes,cytotoxic,,terpene,,?,BGC0000668,
WLIP,yes,yes,,,nrp,pseudomonas,gram pos,BGC0000462,
WS9326,,,unknown,,nrp,streptomyces,,BGC0001297,
xanthan,,,emulsifier,,saccharide,xanthomonas,,BGC0000800,
xanthoferrin,,,siderophore; virulence,,other,xanthomonas,,BGC0001408,
xantholipin,yes,yes,antitumor,,pk,,gram pos,BGC0000279,
xantholysin,yes,yes,,,nrp,pseudomonas,gram pos; gram neg,BGC0000463,
xanthomonadin,,,pigment,,other,xanthomonas,,BGC0000840,
xanthomonin,,,unknown,,ripp,xanthomonas,,BGC0000580,
xenoamicins,no,no,plasmodium; trypanosoma,,nrp,xenorhabdus,,BGC0000464,
xenocoumacin,yes,,,,nrp pk,,gram pos; gram neg,BGC0001054,
xenocyloins,,,insecticide,,pk,xenorhabdus,,BGC0000189,
xenotetrapeptide,,,unknown,,nrp,,,BGC0001132,
xiamenmycin,,,antifibrotic; unknown,,other,streptomyces,,BGC0000933,
